N,eta2,epsilon2,omega2
50,0.050540961,0.051314547,0.051194398
60,0.045783905,0.046365904,0.046276188
70,0.043382336,0.043853883,0.04378183
80,0.039602663,0.039978638,0.039920417
90,0.036526115,0.036833919,0.03678641
100,0.034412594,0.034673295,0.034632807
10,0.111669816,0.120975634,0.119586825
20,0.077394454,0.080449498,0.07997749
30,0.062527814,0.064144913,0.063891697
40,0.05921645,0.060355228,0.060180681
50,0.049179168,0.04993191,0.049815827
60,0.04432911,0.044892616,0.044803582
70,0.040723094,0.041165736,0.04109678
80,0.039621598,0.039997752,0.039939139
90,0.035180235,0.035476698,0.035430602
100,0.036013823,0.036286655,0.036244251
10,0.110931934,0.120176262,0.118754395
20,0.078711872,0.08181892,0.081331843
